City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Sao Joao Da Barra,BR,2021-09-22 00:34:46,-21.6403,-41.0511,74.8,81,66,27.98
248,Chara,RU,2021-09-22 00:38:48,56.9064,118.2631,53.8,81,100,0.96
249,Quelimane,MZ,2021-09-22 00:38:49,-17.8786,36.8883,67.95,94,0,3.44
250,Bangil,ID,2021-09-22 00:38:49,-7.5994,112.8186,80.58,65,84,3.15
251,Winslow,US,2021-09-22 00:36:37,35.0242,-110.6974,80.78,14,1,5.75
252,Grindavik,IS,2021-09-22 00:38:50,63.8424,-22.4338,41.47,81,75,13.8
253,Hasaki,JP,2021-09-22 00:38:50,35.7333,140.8333,77.29,87,98,8.1
254,Castro,BR,2021-09-22 00:38:51,-24.7911,-50.0119,60.73,95,99,7.85
255,Dudinka,RU,2021-09-22 00:38:51,69.4058,86.1778,31.78,86,100,17.63
256,Halvad,IN,2021-09-22 00:38:51,23.0167,71.1833,79.9,80,100,10.67
257,Midland,US,2021-09-22 00:35:25,31.9974,-102.0779,77.67,26,1,14.97
258,Hurghada,EG,2021-09-22 00:38:52,27.2574,33.8129,83.23,38,0,14.09
259,Lavrentiya,RU,2021-09-22 00:38:52,65.5833,-171.0,35.56,59,99,11.39
260,Sivas,TR,2021-09-22 00:38:53,39.7916,37.0019,50.63,100,40,5.75
261,Gauribidanur,IN,2021-09-22 00:38:53,13.6111,77.5167,72.32,91,70,9.53
262,Cockburn Town,TC,2021-09-22 00:38:53,21.4612,-71.1419,83.14,78,18,19.69
263,Husavik,IS,2021-09-22 00:38:54,66.0449,-17.3389,42.71,96,100,34.54
264,Thunder Bay,CA,2021-09-22 00:35:38,48.4001,-89.3168,57.11,62,40,2.3
265,Tuatapere,NZ,2021-09-22 00:38:54,-46.1333,167.6833,53.82,51,19,3.69
266,Tazovskiy,RU,2021-09-22 00:38:54,67.4667,78.7,29.61,84,17,14.52
267,Sampit,ID,2021-09-22 00:38:55,-2.5333,112.95,76.26,87,100,3.13
268,Roma,US,2021-09-22 00:36:54,43.2128,-75.4557,70.84,74,75,9.22
269,Marystown,CA,2021-09-22 00:38:55,47.1666,-55.1483,56.75,82,0,14.16
