City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Yarada,IN,17.65,83.2667,77.32,100,20,2.3,mist
271,Santa Marta,CO,11.2408,-74.199,82.45,78,40,10.36,scattered clouds
272,Kailua,US,21.4022,-157.7394,84.18,69,75,14.97,broken clouds
273,Nantucket,US,41.2835,-70.0995,59.97,65,40,8.05,scattered clouds
274,Aklavik,CA,68.2191,-135.0107,31.03,94,70,4.47,broken clouds
275,Lisakovsk,KZ,52.5369,62.4936,33.84,76,33,7.94,scattered clouds
276,Houston,US,29.7633,-95.3633,80.35,82,1,1.99,clear sky
277,Lewistown,US,40.5992,-77.5714,57.78,77,34,2.86,scattered clouds
278,Esso,RU,55.9333,158.7,37.81,98,100,5.21,overcast clouds
279,Sur,OM,22.5667,59.5289,87.37,60,100,4.07,overcast clouds
280,Diego De Almagro,CL,-26.3667,-70.05,62.82,31,0,1.41,clear sky
281,Meulaboh,ID,4.1363,96.1285,77.0,90,100,6.89,light rain
282,Srednekolymsk,RU,67.45,153.6833,28.38,57,0,10.98,clear sky
283,Tommot,RU,58.9564,126.2925,32.07,97,100,9.57,snow
284,Bilibino,RU,68.0546,166.4372,13.35,92,78,1.23,broken clouds
285,Beloha,MG,-25.1667,45.05,66.63,97,5,4.21,clear sky
286,Ati,TD,13.2154,18.3353,84.06,18,8,6.38,clear sky
287,Tessalit,ML,20.1986,1.0114,84.74,10,100,9.91,overcast clouds
288,Cockburn Town,TC,21.4612,-71.1419,83.43,71,4,13.73,clear sky
289,Puerto Escondido,MX,15.85,-97.0667,83.23,61,40,0.0,scattered clouds
290,Gweta,BW,-20.1833,25.2333,74.98,38,15,15.5,few clouds
291,Kutum,SD,14.2,24.6667,74.66,25,5,8.3,clear sky
292,Batticaloa,LK,7.7102,81.6924,79.07,81,100,2.26,moderate rain
293,Mount Isa,AU,-20.7333,139.5,85.77,16,5,13.8,clear sky
294,Ponta Do Sol,PT,32.6667,-17.1,72.23,68,7,8.28,clear sky
